date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:21	26/26	------	200	untouched ('OK')	text/plain	etag:%221a-5c8249374e9ce%22	https://www.duoback.co.kr/robots.txt		(from )
21:40:21	387733/387733	------	200	untouched ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:35:45%20GMT	https://www.duoback.co.kr/duoback	D:/gowoon/duoback/www.duoback.co.kr/duoback.html	(from )
21:40:22	7744/7744	---M--	200	added ('OK')	image/x-icon	etag:%221e40-5b85f7eaba7c0%22	https://www.duoback.co.kr//data/icon/favicon/faviconFile.ico	D:/gowoon/duoback/www.duoback.co.kr/data/icon/favicon/faviconFile.ico	(from https://www.duoback.co.kr/duoback)
21:40:22	0/0	------	200	untouched ('OK')	text/css	etag:%220-5b56425421c80%22	https://www.duoback.co.kr/data/font/font.css	D:/gowoon/duoback/www.duoback.co.kr/data/font/font.css	(from https://www.duoback.co.kr/duoback)
21:40:22	94843/94843	---M--	200	added ('OK')	application/javascript	etag:%221727b-5b56425421c80%22	https://www.duoback.co.kr/app/javascript/jquery/jquery.min.js	D:/gowoon/duoback/www.duoback.co.kr/app/javascript/jquery/jquery.min.js	(from https://www.duoback.co.kr/duoback)
21:40:22	211253/211253	---M--	200	added ('OK')	application/javascript	etag:%2233935-5b56425421c80%22	https://www.duoback.co.kr/app/javascript/jquery/jquery-ui.min.js	D:/gowoon/duoback/www.duoback.co.kr/app/javascript/jquery/jquery-ui.min.js	(from https://www.duoback.co.kr/duoback)
21:40:22	10525/10525	---M--	200	added ('OK')	application/javascript	etag:%22291d-5b56425421c80%22	https://www.duoback.co.kr/app/javascript/plugin/jquery.poshytip.min.js	D:/gowoon/duoback/www.duoback.co.kr/app/javascript/plugin/jquery.poshytip.min.js	(from https://www.duoback.co.kr/duoback)
21:40:22	7188/7188	---M--	200	added ('OK')	application/javascript	etag:%221c14-5b56425421c80%22	https://www.duoback.co.kr/app/javascript/plugin/jquery.activity-indicator-1.0.0.min.js	D:/gowoon/duoback/www.duoback.co.kr/app/javascript/plugin/jquery.activity-indicator-1.0.0.min.js	(from https://www.duoback.co.kr/duoback)
21:40:23	1988/1988	---M--	200	added ('OK')	application/javascript	etag:%227c4-5b56425421c80%22	https://www.duoback.co.kr/app/javascript/plugin/jquery.cookie.js	D:/gowoon/duoback/www.duoback.co.kr/app/javascript/plugin/jquery.cookie.js	(from https://www.duoback.co.kr/duoback)
21:40:23	1499/1499	------	200	untouched ('OK')	text/css	etag:W/%225db-5kP9NMF1Z/XwNVZSZBWIFIqBLJg%22	https://cdn.jsdelivr.net/gh/moonspam/NanumBarunGothic@latest/nanumbarungothicsubset.css	D:/gowoon/duoback/cdn.jsdelivr.net/gh/moonspam/NanumBarunGothic@latest/nanumbarungothicsubset.css	(from https://www.duoback.co.kr/duoback)
21:40:23	36929/36929	------	200	untouched ('OK')	text/css	etag:%229041-5b59f81b36b00%22	https://www.duoback.co.kr/data/skin/responsive_ver1_default_gl_1/css/jqueryui/black-tie/jquery-ui-1.8.16.custom.css	D:/gowoon/duoback/www.duoback.co.kr/data/skin/responsive_ver1_default_gl_1/css/jqueryui/black-tie/jquery-ui-1.8.16.custom.css	(from https://www.duoback.co.kr/duoback)
21:40:23	6799/6799	---M--	200	added ('OK')	application/javascript	etag:%221a8f-5b56425421c80%22	https://www.duoback.co.kr/app/javascript/plugin/jquery.slides.min.js	D:/gowoon/duoback/www.duoback.co.kr/app/javascript/plugin/jquery.slides.min.js	(from https://www.duoback.co.kr/duoback)
21:40:23	5482/5482	---M--	200	added ('OK')	application/javascript	etag:%22156a-5b56425421c80%22	https://www.duoback.co.kr/app/javascript/plugin/jquery.placeholder.js	D:/gowoon/duoback/www.duoback.co.kr/app/javascript/plugin/jquery.placeholder.js	(from https://www.duoback.co.kr/duoback)
